FIT Profiler Report

Action                             	|  Mean duration (s)	|Num calls      	|  Total time (s) 	|  Percentage %   	|
--------------------------------------------------------------------------------------------------------------------------------------
Total                              	|  -              	|_              	|  1387.9         	|  100 %          	|
--------------------------------------------------------------------------------------------------------------------------------------
run_training_epoch                 	|  629.41         	|2              	|  1258.8         	|  90.699         	|
get_train_batch                    	|  33.299         	|22             	|  732.59         	|  52.784         	|
fetch_next_train_batch             	|  33.299         	|22             	|  732.59         	|  52.784         	|
get_validate_batch                 	|  41.935         	|12             	|  503.23         	|  36.258         	|
fetch_next_validate_batch          	|  41.935         	|12             	|  503.22         	|  36.258         	|
run_training_batch                 	|  0.87473        	|20             	|  17.495         	|  1.2605         	|
optimizer_step_with_closure_0      	|  0.87358        	|20             	|  17.472         	|  1.2588         	|
training_step_and_backward         	|  0.87013        	|20             	|  17.403         	|  1.2539         	|
model_forward                      	|  0.86444        	|20             	|  17.289         	|  1.2457         	|
training_step                      	|  0.86392        	|20             	|  17.278         	|  1.2449         	|
evaluation_step_and_end            	|  0.42274        	|10             	|  4.2274         	|  0.30459        	|
validation_step                    	|  0.42264        	|10             	|  4.2264         	|  0.30452        	|
on_train_epoch_end                 	|  0.55585        	|2              	|  1.1117         	|  0.0801         	|
on_train_end                       	|  0.14847        	|1              	|  0.14847        	|  0.010697       	|
backward                           	|  0.0049023      	|20             	|  0.098047       	|  0.0070644      	|
zero_grad                          	|  0.00073917     	|20             	|  0.014783       	|  0.0010652      	|
training_batch_to_device           	|  0.00072572     	|20             	|  0.014514       	|  0.0010458      	|
on_train_batch_end                 	|  0.00038082     	|20             	|  0.0076163      	|  0.00054877     	|
evaluation_batch_to_device         	|  0.00048677     	|10             	|  0.0048677      	|  0.00035072     	|
on_train_batch_start               	|  0.00022395     	|20             	|  0.004479       	|  0.00032272     	|
on_pretrain_routine_start          	|  0.0037673      	|1              	|  0.0037673      	|  0.00027144     	|
on_validation_end                  	|  0.0010476      	|2              	|  0.0020952      	|  0.00015096     	|
